time,seconds_elapsed,z,y,x
1763205797002440400,0.1184404296875,-0.03994741663336754,-0.11451593041419983,0.07936219871044159
1763205797018370600,0.13437060546875,-0.08149272948503494,-0.18322548270225525,0.15073491632938385
1763205797034331000,0.150330810546875,-0.09853696078062057,-0.21038973331451416,0.1390170156955719
1763205797050291200,0.166291259765625,-0.10333064943552017,-0.16937704384326935,0.09693906456232071
1763205797066221300,0.18222119140625,-0.12144014984369278,-0.11558119207620621,0.10279802232980728
1763205797082181600,0.198181640625,-0.12090751528739929,-0.04420847445726395,0.1533980816602707
1763205797098111500,0.214111572265625,-0.09640643000602722,-0.0697748214006424,0.17363810539245605
1763205797114072000,0.230072021484375,-0.06285060197114944,-0.1113201379776001,0.16085493564605713
1763205797130002000,0.246001953125,-0.06391586363315582,-0.17789916694164276,0.09374327212572098
1763205797145962200,0.261962158203125,-0.10066749155521393,-0.19813919067382812,0.022370554506778717
1763205797161892000,0.27789208984375,-0.13582122325897217,-0.12623383104801178,-0.007989482954144478
1763205797177852700,0.293852783203125,-0.18322548270225525,-0.09906959533691406,-0.0463390052318573
1763205797193782500,0.309782470703125,-0.2322276532649994,-0.17257283627986908,-0.125168576836586
1763205797209742800,0.325742919921875,-0.26684874296188354,-0.21252025663852692,-0.15073491632938385
1763205797225673000,0.3416728515625,-0.27057716250419617,-0.18162758648395538,-0.09587380290031433
1763205797241633300,0.35763330078125,-0.2865561246871948,-0.09427590668201447,-0.03675162419676781
1763205797257563100,0.373563232421875,-0.32330775260925293,-0.022903185337781906,-0.041012682020664215
1763205797273523700,0.389523681640625,-0.35952675342559814,-0.0926780104637146,-0.0926780104637146
1763205797289453600,0.40545361328125,-0.3749730885028839,-0.15925703942775726,-0.0878843143582344
1763205797305414000,0.421413818359375,-0.37657099962234497,-0.1571265012025833,-0.06125270575284958
1763205797321344000,0.437343994140625,-0.39734363555908203,-0.11504855751991272,-0.09054747968912125
1763205797337304300,0.45330419921875,-0.41385525465011597,-0.033555831760168076,-0.14061491191387177
1763205797353234200,0.469234130859375,-0.40639838576316833,0.016511598601937294,-0.20293287932872772
1763205797369164000,0.4851640625,-0.38242992758750916,-0.05379585549235344,-0.21997711062431335
1763205797385124600,0.50112451171875,-0.3669835925102234,-0.13156016170978546,-0.21038973331451416
1763205797401054500,0.517054443359375,-0.4181163012981415,-0.162452831864357,-0.24767398834228516
1763205797417014800,0.533014892578125,-0.4639226794242859,-0.1299622654914856,-0.2977414131164551
1763205797432945000,0.54894482421875,-0.4298342168331146,-0.012250540778040886,-0.27696874737739563
1763205797448905200,0.5649052734375,-0.3904194235801697,0.05752427875995636,-0.19121496379375458
1763205797464835000,0.5808349609375,-0.37337517738342285,0.01810949668288231,-0.11504855751991272
1763205797480795600,0.596795654296875,-0.37816888093948364,-0.04314320906996727,-0.08255799859762192
1763205797496725500,0.6127255859375,-0.3797667920589447,-0.003728425595909357,-0.08681905269622803
1763205797512685800,0.628685791015625,-0.3376888334751129,0.09480853378772736,-0.1257012039422989
1763205797528615700,0.64461572265625,-0.3094593286514282,0.1576591432094574,-0.1757686287164688
1763205797544545800,0.6605458984375,-0.29454562067985535,0.2183792144060135,-0.14540860056877136
1763205797560506000,0.676506103515625,-0.2881540358066559,0.27483823895454407,-0.04740426689386368
1763205797576466400,0.692466552734375,-0.27537086606025696,0.25672873854637146,0.019174760207533836
1763205797592427000,0.708427001953125,-0.2828277051448822,0.33609092235565186,0.016511598601937294
1763205797608356900,0.72435693359375,-0.29827404022216797,0.33129724860191345,-0.03834952041506767
1763205797624317200,0.740317138671875,-0.2886866629123688,0.28069719672203064,-0.033555831760168076
1763205797640277800,0.75627783203125,-0.2865561246871948,0.26258769631385803,0.030892670154571533
1763205797656207600,0.77220751953125,-0.30466562509536743,0.2407497614622116,0.0463390052318573
1763205797672168200,0.788168212890625,-0.33662357926368713,0.28389298915863037,-0.003195793367922306
1763205797688128500,0.80412841796875,-0.3605920076370239,0.32224249839782715,-0.01438106968998909
1763205797704058400,0.820058349609375,-0.34567832946777344,0.31798145174980164,0.048469532281160355
1763205797720019000,0.83601904296875,-0.31798145174980164,0.24927188456058502,0.10546118021011353
1763205797735948800,0.85194873046875,-0.3147856593132019,0.1667138934135437,0.1294296383857727
1763205797751939600,0.867939697265625,-0.33555829524993896,0.1667138934135437,0.13156016170978546
1763205797767869700,0.88386962890625,-0.3254382908344269,0.21145498752593994,0.13315805792808533
1763205797783830000,0.899830078125,-0.2679139971733093,0.250337153673172,0.20080235600471497
1763205797799760000,0.915759765625,-0.21571604907512665,0.2886866629123688,0.31798145174980164
1763205797815720400,0.931720458984375,-0.18375812470912933,0.2588592767715454,0.3882888853549957
1763205797831650300,0.947650390625,-0.16032229363918304,0.22796659171581268,0.4277036786079407
1763205797847580200,0.963580078125,-0.15073491632938385,0.24501082301139832,0.4074636399745941
1763205797863540500,0.97954052734375,-0.1571265012025833,0.21624869108200073,0.32117724418640137
1763205797879470600,0.995470703125,-0.17417073249816895,0.1299622654914856,0.19654129445552826
1763205797895431000,1.011430908203125,-0.20293287932872772,-0.00532632227987051,0.04261057823896408
1763205797911360800,1.02736083984375,-0.22956448793411255,-0.1810949593782425,-0.0884169489145279
1763205797927321300,1.0433212890625,-0.25726136565208435,-0.2737729549407959,-0.15659387409687042
1763205797943251200,1.059251220703125,-0.26578348875045776,-0.27110978960990906,-0.16831178963184357
1763205797959211500,1.07521142578125,-0.22849921882152557,-0.13156016170978546,-0.14274543523788452
1763205797975141400,1.091141357421875,-0.14168016612529755,0.12303804606199265,-0.01757686398923397
1763205797991102000,1.10710205078125,-0.048469532281160355,0.29561087489128113,0.15233281254768372
1763205798007031800,1.12303173828125,0.02822950854897499,0.24288029968738556,0.26631611585617065
1763205798022992100,1.1389921875,0.07350324839353561,0.11664646118879318,0.30466562509536743
1763205798038922200,1.154922119140625,0.08628641813993454,0.007989482954144478,0.2780340313911438
1763205798054882600,1.170882568359375,0.13102753460407257,-0.1017327532172203,0.21411815285682678
1763205798070812400,1.1868125,0.19174760580062866,-0.24021713435649872,0.0884169489145279
1763205798086773000,1.20277294921875,0.20719394087791443,-0.41438788175582886,-0.04420847445726395
1763205798102702800,1.218702880859375,0.15872439742088318,-0.5155879855155945,-0.14647386968135834
1763205798118663200,1.2346630859375,0.06125270575284958,-0.53423011302948,-0.21038973331451416
